Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,quintile,decile,vigintile,percentile,CP,DZ_Name,LARank,Number of small areas in CP,Number of small areas in LA,LAQuintile,Number in LA Quintile,children 00-17,all ages,NameC
S01010663,Inverness West Rural,Highland,1014,582,5063,5342,5517,5633,4708,634,6712,5900,4,8,15,73,Inverness,Beauly Rural,264,103,312,5,62,205,1036,Beauly Rural
S01010592,Inverness Inshes,Highland,487,327,5065,4872,4717,4319,5759,1764,6339,4731,4,8,15,73,Inverness,Inverness Inshes,265,103,312,5,62,65,501,Inverness Inshes
S01010709,Conon,Highland,732,457,5066,5467,5086.5,5295,5434,718,6341,5355,4,8,15,73,Mid Ross,Maryburgh North West,266,33,312,5,62,147,722,Maryburgh North West
S01010703,Muir of Ord,Highland,871,528,5125,5396,6021.5,5483,5142,470,6471,5507,4,8,15,74,Mid Ross,Muir of Ord Rural,267,33,312,5,62,137,864,Muir of Ord Rural
S01010602,Inverness Lochardil and Holm Mains,Highland,515,357,5144,5427,5680.5,4684,3974,1243,6387,5239.5,4,8,15,74,Inverness,Inverness Holm Mains,268,103,312,5,62,86,503,Inverness Holm Mains
S01010756,Tain,Highland,613,363,5151,4913,5741,4661,4660,3662,1092,4554,4,8,15,74,East Ross,Tain North West,269,30,312,5,62,88,601,Tain North West
S01007403,Helensburgh East,Argyll and Bute,808,503,5153,5308,4798,5025,5538,1300,5362,6568,4,8,15,74,Helensburgh & Lomond,-,108,37,125,5,25,253,790,Helensburgh East
S01010595,Inverness Inshes,Highland,893,621,5156,4719,5519.5,4637,5375,2838,1726,5702,4,8,15,74,Inverness,Inverness Inshes,270,103,312,5,62,252,875,Inverness Inshes
S01010804,Thurso West,Highland,567,365,5163,4814,3843,4816,4713,6417,3725,5473,4,8,15,75,Caithness,Thurso Central West,271,38,312,5,62,81,548,Thurso Central West
S01010809,Thurso West,Highland,742,447,5175,5257.5,5081,4813,5888,990,6820,6346,4,8,15,75,Caithness,Scrabster,272,38,312,5,62,108,727,Scrabster
S01010524,Lochaber East and North,Highland,494,297,5185,5640,6592,5902,4161,530,5483,4208,4,8,15,75,Lochaber,Nether Lochaber,273,27,312,5,62,71,508,Nether Lochaber
S01010728,Black Isle North,Highland,535,326,5188,5972,5853,5829,5359,425,4871,6009,4,8,15,75,Mid Ross,Culbokie,274,33,312,5,62,109,529,Culbokie
S01010549,Nairn Rural,Highland,1329,809,5192,5496,5301,5844,5670,642,5760,6905,4,8,15,75,Nairn & Nairnshire,Nairn East Rural,275,18,312,5,62,362,1433,Nairn East Rural
S01010721,Black Isle South,Highland,646,363,5219,4775,4660.5,6100,5904,1763,4638,4935,4,8,15,75,Mid Ross,Fortrose West,276,33,312,5,62,100,643,Fortrose West
S01010562,Nairn West,Highland,739,471,5228,5433,4510,4775,4789,2310,5762,6118,4,8,15,75,Nairn & Nairnshire,Nairn Achareidh South,277,18,312,5,62,96,715,Nairn Achareidh South
S01010596,Inverness Slackbuie,Highland,1313,847,5234,6451,6748,6445,5220,324,1959,6085,4,8,16,76,Inverness,Inverness South,278,103,312,5,62,394,1500,Inverness South
S01007297,Oban North,Argyll and Bute,849,564,5236,5343,5684,5859,4814,4477,422,1890,4,8,16,76,"Oban, Lorn & the Isles",-,109,27,125,5,25,131,821,Oban North
S01010548,Nairn Rural,Highland,698,348,5252,5524,5743,6275,5747,458,6307,5897,4,8,16,76,Nairn & Nairnshire,Nairn West Rural,279,18,312,5,62,106,687,Nairn West Rural
S01010727,Black Isle North,Highland,655,390,5276,6245,6438,6518,5533,189,6544,5157,4,8,16,76,Mid Ross,Culbokie,280,33,312,5,62,137,653,Culbokie
S01010723,Black Isle South,Highland,919,601,5298,5885.5,6296,6447,5826,248,6686,5829,4,8,16,76,Mid Ross,Killen & Raddery,281,33,312,5,62,177,910,Killen & Raddery
S01010601,Inverness Lochardil and Holm Mains,Highland,663,344,5326,5813,4488,4826,4769,2048,6791,6320,4,8,16,77,Inverness,Inverness Lochardil Central,282,103,312,5,62,108,671,Inverness Lochardil Central
S01007384,Helensburgh West and Rhu,Argyll and Bute,713,422,5328,4874,4664.5,5459,5917,2023,6326,5133.5,4,8,16,77,Helensburgh & Lomond,-,110,37,125,5,25,152,684,Helensburgh West and Rhu
S01010605,Inverness Lochardil and Holm Mains,Highland,854,478,5334,5456,4893,4961,4768,2115,5456,5943,4,8,16,77,Inverness,Inverness Holm Mains,283,103,312,5,62,137,854,Inverness Holm Mains
S01010593,Inverness Inshes,Highland,1153,767,5351,4922,5454,5759,6158,1166,5354,5592,4,8,16,77,Inverness,Inverness Castle Heather South,284,103,312,5,62,281,1212,Inverness Castle Heather South
S01010587,Inverness Westhill,Highland,657,390,5361,6012,5390.5,5893,5624,784,4683,5064,4,8,16,77,Inverness,Cradlehall South,285,103,312,5,62,107,642,Cradlehall South
S01007381,Helensburgh West and Rhu,Argyll and Bute,584,279,5412,6003,6347,5552,5584,573,4384,5992,4,8,16,78,Helensburgh & Lomond,-,111,37,125,5,25,110,590,Helensburgh West and Rhu
S01007394,Helensburgh Centre,Argyll and Bute,652,332,5415,4736,4386,4065,5676,5559,5922,6354,4,8,16,78,Helensburgh & Lomond,-,112,37,125,5,25,74,619,Helensburgh Centre
S01010628,Inverness Crown and Haugh,Highland,946,676,5450,4893,5460.5,4837,3955,6606,2791,2508,4,8,16,79,Inverness,Inverness Crown West,286,103,312,5,62,131,961,Inverness Crown West
S01007407,Lomond Shore,Argyll and Bute,732,434,5453,5758,5646,5480,5603,816,6817,6151,4,8,16,79,Helensburgh & Lomond,-,113,37,125,5,25,127,727,Lomond Shore
S01010545,Badenoch and Strathspey North,Highland,725,430,5482,4441.5,5277.5,4306,5104,5639,6048,2240,4,8,16,79,Badenoch and Strathspey,Grantown Central,287,17,312,5,62,157,746,Grantown Central
S01007406,Lomond Shore,Argyll and Bute,643,363,5490,6471.5,5625,5030,5725,969,3569,6610,4,8,16,79,Helensburgh & Lomond,-,114,37,125,5,25,115,634,Lomond Shore
S01010647,Inverness Scorguie,Highland,672,411,5515,5753,5469,3742,4489,3236,6268,3413,4,8,16,80,Inverness,Inverness Scorguie Central,288,103,312,5,62,51,649,Inverness Scorguie Central
S01010585,Inverness Westhill,Highland,850,581,5528,5572,6075,6166,4348,1139,5701,6355,4,8,16,80,Inverness,Westhill East,289,103,312,5,62,263,868,Westhill East
S01010711,Conon,Highland,802,468,5680,6021,5488,5791,6123,1020,6151,6211,5,9,17,82,Mid Ross,Conon South,290,33,312,5,62,152,797,Conon South
S01010594,Inverness Inshes,Highland,740,514,5690,5563.5,5462,5825,4297,2596,5475,5650.5,5,9,17,82,Inverness,Inverness Inshes,291,103,312,5,62,178,759,Inverness Inshes
S01010575,Inverness Culloden and Balloch,Highland,646,370,5717,5373,4261,5804,6168,3350,6225,6830,5,9,17,82,Inverness,Balloch North,292,103,312,5,62,114,649,Balloch North
S01007405,Lomond Shore,Argyll and Bute,695,436,5753,6537,6243,6345,6669,479,4817,5973,5,9,17,83,Helensburgh & Lomond,-,115,37,125,5,25,127,693,Lomond Shore
S01010583,Inverness Westhill,Highland,915,572,5766,6213,6510,5970,5654,833,4275,5695,5,9,17,83,Inverness,Westhill West,293,103,312,5,62,137,914,Westhill West
S01010603,Inverness Lochardil and Holm Mains,Highland,766,461,5774,5969,5538,5900,5598,1281,6627,6440.5,5,9,17,83,Inverness,Inverness Lochardil South,294,103,312,5,62,96,733,Inverness Lochardil South
S01007401,Helensburgh East,Argyll and Bute,642,388,5792,5508,5690.5,5152,6016,2424,4312,4514,5,9,17,84,Helensburgh & Lomond,-,116,37,125,5,25,98,652,Helensburgh East
S01010590,Inverness Inshes,Highland,944,589,5832,6424.5,6584,6453,6285,468,5631,6836,5,9,17,84,Inverness,Inverness Castle Heather South,295,103,312,5,62,273,931,Inverness Castle Heather South
S01007393,Helensburgh North,Argyll and Bute,830,364,5873,4507,5943,3446,6788,6100,5401,4980,5,9,17,85,Helensburgh & Lomond,-,117,37,125,5,25,149,865,Helensburgh North
S01010646,Inverness Scorguie,Highland,650,415,5976,5611,6020,5462,4875,2450,6928,5380,5,9,18,86,Inverness,Inverness Scorguie,296,103,312,5,62,88,626,Inverness Scorguie
S01007342,Bute,Argyll and Bute,764,412,5989,6300,6634,5751,5468,1159,4763,6063,5,9,18,86,Bute & Cowal,-,118,32,125,5,25,74,746,Bute
S01010513,Fort William North,Highland,761,465,6005,5887.5,6003,5788,4495,2330,6622,5691,5,9,18,87,Lochaber,Corpach East and Banavie,297,27,312,5,62,144,779,Corpach East and Banavie
S01010586,Inverness Westhill,Highland,813,529,6008,6495,6519.5,6189,5996,720,6843,5216,5,9,18,87,Inverness,Westhill East,298,103,312,5,62,155,823,Westhill East
S01010598,Inverness Slackbuie,Highland,1090,717,6045,5995,6492,6615,5642,1100,6051,5654,5,9,18,87,Inverness,Inverness South,299,103,312,5,62,318,1068,Inverness South
S01007386,Helensburgh West and Rhu,Argyll and Bute,749,410,6046,5800,5374,6132,6778,1829,6084,6645,5,9,18,87,Helensburgh & Lomond,-,119,37,125,5,25,141,753,Helensburgh West and Rhu
S01010717,Dingwall,Highland,600,338,6066,6550,5978,6095,4550,1627,6928,6589,5,9,18,87,Mid Ross,Dingwall North,300,33,312,5,62,99,653,Dingwall North
S01010616,Inverness Drakies,Highland,778,487,6105,5723,5643,5474,5253,4270,4547,4590,5,9,18,88,Inverness,Inverness Drakies North,301,103,312,5,62,116,775,Inverness Drakies North
S01010579,Inverness Smithton,Highland,658,399,6114,5637,5049,5070,5929,4705,6928,4629,5,9,18,88,Inverness,Culloden Ferntower,302,103,312,5,62,108,663,Culloden Ferntower
